avg_network_time,avg_nms_time,method,width
0.05199759197235108,6.849813461303711e-05,EASTLite,320
0.056258864879608156,0.0003544783592224121,EASTLite,640
0.08407736110687256,0.0013621726036071777,EASTLite,960
0.1152897572517395,0.0034051589965820315,EASTLite,1280
0.12719794273376464,0.00590941572189331,EASTLite,1600
0.08973908233642579,8.232879638671875e-05,EAST,320
0.19926331567764283,0.000901390552520752,EAST,640
0.2318300313949585,0.0024198217391967775,EAST,960
0.242573007106781,0.004360897541046143,EAST,1280
0.24236080598831178,0.006458811759948731,EAST,1600
